previous,name,company
リクルート,鈴木明人,ＧＭＯ　ＴＥＣＨ
リクルート,山木 学,株式会社イトクロ
リクルート,加藤 貴博,株式会社ジモティー
リクルート,江幡 哲,株式会社オールアバウト
リクルート,平尾丈,株式会社じげん
マッキンゼー,大前研一,株式会社ビジネス・ブレークスルー
マッキンゼー,南場智子,株式会社ディー・エヌ・エー
マッキンゼー,高島宏平,オイシックスドット大地株式会社
マッキンゼー,木南陽介,株式会社レノバ
楽天,山田 進太郎,株式会社メルカリ　
楽天,比木 武,株式会社Welby
楽天,田中 良和,グリー株式会社　
サイバーエージェント,都木聡,株式会社セレス
サイバーエージェント,宮嶌裕二,株式会社モバイルファクトリー　
サイバーエージェント,白砂晃 ,フォトクリエイト
サイバーエージェント,菊池誠晃,リアルワールド　
サイバーエージェント,宇佐美進典,VOYAGE GROUP
DeNA,塩田 元規,株式会社アカツキ　
DeNA,田中裕輔,株式会社ロコンド　
グリー,馬場功淳,コロプラ
グリー,吉田 大成,株式会社エブリー
"パーソルキャリア株式会社
（インテリジェンス）",藤田 晋,株式会社サイバーエージェント
"パーソルキャリア株式会社
（インテリジェンス）",新居佳英,株式会社アトラエ
"コスモスイニシア
（株式会社リクルートコスモス）",宇野康秀,株式会社Ｕ－ＮＥＸＴ
"コスモスイニシア
（株式会社リクルートコスモス）",井上高志, 株式会社LIFULL
Google,佐々木大輔,	freee株式会社
Google,南壮一郎,株式会社ビズリーチ
ソニー,森川亮,C Channel株式会社
ソニー,佐渡島隆平,セーフィー株式会社
ソフトバンクグループ株式会社,鎌田 和樹,UUUM株式会社
ソフトバンクグループ株式会社,佐藤 輝英,"BEENOS株式会社
（株式会社ネットプライス）"
博報堂,梶本 雄介,株式会社アルファポリス
博報堂,佐々木大輔,	freee株式会社
三菱UFJモルガン・スタンレー証券,南 壮一郎,ビジョナル株式会社
三菱UFJモルガン・スタンレー証券,吉村元久,株式会社ヨシムラ・フード・ホールディングス
テスラ,ジーン・ベルディチェフスキー,シラ・ナノテクノロジーズ共同創業者兼CEO
テスラ,ピーター・ローリンソン,ルーシッド・モーターズ共同創業者兼CEO
ボストンコンサルティンググループ,岩瀬 大輔,ライフネット生命保険株式会社
ボストンコンサルティンググループ,鶴野史朗,株式会社アイ・アール ジャパンホールディングス
ボストンコンサルティンググループ,堀紘一,株式会社ドリームインキュベータ
